ContractID,HostRegion,Product ID,Unit,USD List Price(per unit),USD List Price,USD Transfer Price(per unit),USD Transfer Price
LY3R2X3U,USA,USA-VM-0001-0001,743,0.125000,92.875000,0.106000,78.758000
LY3R2X3U,USA,USA-DK-0001-0001,483600,0.000250,120.900000,0.000210,101.556000
LY3R2X3U,USA,USA-VM-0001-0003,1488,0.497000,739.536000,0.425000,632.400000
LY3R2X3U,-,Total,-,-,1315.267,-,1133.1548
MAASX7B4,USA,USA-IP-0001-0001,744,0.010000,7.440000,0.011000,8.184000
MAASX7B4,USA,USA-SD-0001-0001,37200,0.000250,9.300000,0.000210,7.812000
MAASX7B4,USA,USA-DK-0003-0002,148800,0.000250,37.200000,0.000210,31.248000
MAASX7B4,USA,USA-VM-0001-0002,744,0.249000,185.256000,0.213000,158.472000
MAASX7B4,USA,USA-VM-0001-0001,2230,0.125000,278.750000,0.106000,236.380000
MAASX7B4,USA,USA-NW-0001-0001,0,0.150000,0.000000,0.011000,0.000000
MAASX7B4,USA,USA-DK-0001-0001,297600,0.000250,74.400000,0.000210,62.496000
MAASX7B4,USA,USA-DK-0003-0001,29760,0.000250,7.440000,0.000210,6.249600
MAASX7B4,-,Total,-,-,599.786,-,510.8416
MVM29VX0,USA,USA-IP-0001-0001,2976,0.010000,29.760000,0.011000,32.736000
MVM29VX0,USA,USA-NW-0001-0001,0,0.150000,0.000000,0.011000,0.000000
MVM29VX0,USA,USA-DK-0003-0001,148880,0.000250,37.220000,0.000210,31.264800
MVM29VX0,USA,USA-DK-0003-0002,133920,0.000250,33.480000,0.000210,28.123200
MVM29VX0,USA,USA-SD-0001-0001,126480,0.000250,31.620000,0.000210,26.560800
MVM29VX0,USA,USA-VM-0001-0001,3717,0.125000,464.625000,0.106000,394.002000
MVM29VX0,USA,USA-DK-0002-0001,29760,0.000250,7.440000,0.000210,6.249600
MVM29VX0,USA,USA-DK-0001-0001,74400,0.000250,18.600000,0.000210,15.624000
MVM29VX0,-,Total,-,-,622.745,-,534.5604
